2025-January-09-16-30-00, Started, do_Extrac
2025-January-09-16-30-00, Finished, do_Extra
2025-January-09-16-30-00, Started, do_Transfo
2025-January-09-16-30-00, Finished, do_Transfor
2025-January-09-16-30-00, Started, do_Loa
2025-January-09-16-30-01, Finished, do_Loa
2025-January-10-16-09-08, Finished, do_Extract
2025-January-10-16-09-08, Started, do_Transform
2025-January-10-16-09-08, Finished, do_Transform
2025-January-10-16-09-08, Started, do_Load
2025-January-10-16-09-11, Finished, do_Load
2025-January-10-17-18-38, Started, do_Transform
2025-January-10-17-18-38, Finished, do_Transform
2025-January-10-17-18-57, Started, do_Transform
2025-January-10-17-18-57, Finished, do_Transform
2025-January-10-17-20-20, Started, do_Transform
2025-January-10-17-20-20, Finished, do_Transform
2025-January-10-17-21-39, Started, do_Transform
2025-January-10-17-21-39, Finished, do_Transform
2025-January-10-17-22-36, Started, do_Transform
2025-January-10-17-22-36, Finished, do_Transform
2025-January-10-17-27-19, Started, do_Transform
2025-January-10-17-27-19, Finished, do_Transform
